,accepted_species,native_tdwg3_codes
3173,Neptunia plena,"('ARU', 'BAH', 'BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FRG', 'GAL', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'NLA', 'PAN', 'PAR', 'PER', 'PUE', 'SUR', 'TRT', 'VEN', 'VNA', 'WIN')"
3227,Microchilus boliviensis,"('BOL', 'CLM', 'ECU', 'PER')"
3236,Callaeum antifebrile,"('BOL', 'BZC', 'BZN', 'CLM', 'ECU', 'PER', 'VEN')"
3242,Pentacalia haughtii,"('CLM',)"
3246,Malaxis hoppii,"('CLM', 'ECU', 'PER')"
3249,Rinorea lindeniana,"('BOL', 'BZC', 'BZN', 'CLM', 'COS', 'ECU', 'GUY', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
3252,Pentacalia caliana,"('CLM',)"
3261,Pentacalia weinmannifolia,"('CLM', 'ECU')"
3266,Warreopsis colorata,"('CLM', 'COS', 'ECU', 'PAN', 'VEN')"
3277,Pentacalia magnusii,"('CLM',)"
3279,Serpocaulon wagneri,"('BOL', 'BZC', 'BZN', 'CLM', 'COS', 'ECU', 'GUY', 'PAN', 'VEN')"
3283,Serpocaulon concolorum,"('BOL', 'CLM', 'ECU', 'PER')"
3289,Eragrostis airoides,"('AGE', 'AGW', 'BOL', 'BZL', 'BZS', 'CLM', 'PAR', 'URU', 'VEN')"
3294,Chomelia laxiflora,"('CLM',)"
3305,Serpocaulon levigatum,"('BOL', 'BZE', 'BZL', 'CLM', 'COS', 'ECU', 'FRG', 'GUY', 'LEE', 'PAN', 'PER', 'SUR', 'VEN', 'WIN')"
3329,Ocotea tovarensis,"('CLM',)"
3346,Mickelia hemiotis,"('BLZ', 'CLM', 'COS', 'ECU', 'MXG', 'MXS', 'PAN', 'TRT', 'VEN')"
3416,Pleiostachya pruinosa,"('BLZ', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'MXT', 'NIC', 'PAN')"
3423,Senega longicaulis,"('AGE', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ELS', 'FRG', 'GUA', 'GUY', 'HAI', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PUE', 'SUR', 'TRT', 'VEN')"
3459,Cyperus aggregatus,"('AGE', 'AGW', 'ALA', 'ARI', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'CLN', 'COS', 'CPI', 'CUB', 'DOM', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'LOU', 'MSI', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'NWM', 'PAN', 'PAR', 'PER', 'PUE', 'SUR', 'TEX', 'TRT', 'URU', 'VEN', 'WIN')"
3469,Cyperus regiomontanus,"('CLM', 'COS', 'HON', 'MXN', 'MXS', 'MXT')"
3472,Pecluma pastazensis,"('CLM', 'ECU')"
3490,Dacryodes peruviana,"('BZN', 'CLM', 'ECU', 'PER', 'VEN')"
3495,Hymenostephium serratum,"('CLM', 'VEN')"
3510,Sigmoidotropis speciosa,"('BLZ', 'BZC', 'BZL', 'BZS', 'CLM', 'COS', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PER', 'VEN')"
3522,Dimerandra stenopetala,"('BZN', 'CLM', 'ECU', 'JAM', 'TRT', 'VEN')"
3539,Sequencia serrata,"('CLM',)"
3543,Karma cedralensis,"('BOL', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'PAN', 'PER', 'VEN')"
3546,Baltimora geminata,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'CUB', 'DOM', 'HAI', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'NLA', 'PAR', 'VEN', 'VNA')"
3568,Pescatoria lalindei,"('CLM',)"
3572,Senegalia westiana,"('CLM', 'HAI', 'LEE', 'PUE', 'TRT', 'WIN')"
3574,Stenostephanus pilosus,"('CLM', 'VEN')"
3575,Acianthera kateora,"('CLM',)"
3577,Acianthera rodrigoi,"('CLM',)"
3602,Stelis melanopus,"('BOL', 'CLM', 'ECU')"
3609,Darcya mutisii,"('CLM',)"
3615,Stelis ospinae,"('CLM',)"
3658,Jacaratia spinosa,"('AGE', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'NIC', 'PAN', 'PAR', 'PER', 'SUR')"
3659,Stelis escobarii,"('CLM',)"
3672,Andinia platysepala,"('CLM',)"
3679,Stelis ligulata,"('CLM', 'ECU', 'PER')"
3682,Bunchosia nitida,"('BLZ', 'BOL', 'BZE', 'BZL', 'CLM', 'COS', 'CUB', 'ECU', 'ELS', 'FRG', 'GUA', 'HAI', 'HON', 'JAM', 'LEE', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'TRT', 'WIN')"
3716,Commicarpus tuberosus,"('BOL', 'CLM', 'ECU', 'GAL', 'PER')"
3721,Irlbachia nemorosa,"('BZC', 'BZL', 'BZN', 'BZS', 'CLM', 'GUY', 'VEN')"
3726,Agarista albiflora,"('CLM', 'ECU', 'PER', 'VEN')"
3808,Comparettia langlassei,"('CLM', 'ECU')"
3837,Pouzolzia parasitica,"('ANG', 'BOL', 'BUR', 'CLM', 'CMN', 'COS', 'CPP', 'ETH', 'GGI', 'GUA', 'GUI', 'HON', 'KEN', 'LBR', 'MLW', 'MOZ', 'NAT', 'NIC', 'PER', 'RWA', 'SIE', 'SOM', 'SUD', 'SWZ', 'TAN', 'TVL', 'UGA', 'YEM', 'ZAI', 'ZAM', 'ZIM')"
3849,Byrsonima luetzelburgii,"('BZN', 'CLM', 'VEN')"
3887,Dalbergia intermedia,"('BZN', 'CLM', 'VEN')"
3939,Oritrophium peruvianum,"('BOL', 'CLM', 'ECU', 'PER', 'VEN')"
3940,Calathea lutea,"('BLZ', 'BOL', 'BZN', 'CLM', 'COS', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'JAM', 'LEE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'SUR', 'TRT', 'VEN', 'VNA', 'WIN')"
3955,Sticherus revolutus,"('BOL', 'BZL', 'CLM', 'COS', 'DOM', 'ECU', 'GUY', 'PAN', 'PER', 'VEN')"
3964,Chusquea angusta,"('CLM', 'GUY', 'VEN')"
3980,Besleria gibbosa,"('BZN', 'CLM', 'VEN')"
4008,Aechmea latifolia,"('CLM',)"
4033,Aechmea nudicaulis,"('BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'FRG', 'GUY', 'HAI', 'HON', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'SUR', 'TRT', 'VEN', 'VNA')"
4047,Gentianella dacrydioides,"('CLM', 'ECU')"
4048,Scaphosepalum verrucosum,"('CLM', 'VEN')"
4089,Zanthoxylum compactum,"('BOL', 'BZN', 'CLM', 'ECU', 'PER', 'VEN')"
4092,Rhynchospora caracasana,"('BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'GUY', 'SUR', 'VEN')"
4103,Rhynchospora trichochaeta,"('BZC', 'BZL', 'BZN', 'CLM', 'FRG', 'GUY', 'VEN')"
4113,Rhynchospora tenella,"('BOL', 'BZL', 'BZN', 'BZS', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')"
4150,Stenorrhynchos speciosum,"('BAH', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'GUA', 'HON', 'JAM', 'LEE', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'VEN', 'WIN')"
4209,Nertera granadensis,"('AGS', 'ATP', 'BIS', 'BOL', 'BOR', 'CLC', 'CLM', 'CLS', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FAL', 'GUA', 'HAI', 'HAW', 'HON', 'JAM', 'JAP', 'JAW', 'JNF', 'MDG', 'MLY', 'MOL', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'NSW', 'NWG', 'NZN', 'NZS', 'PAN', 'PER', 'PHI', 'SAM', 'SCI', 'SOA', 'SSA', 'SUL', 'SUM', 'TAI', 'TAS', 'VAN', 'VEN', 'VIC', 'VIE')"
4223,Lantana lopez-palacii,"('CLM', 'COS', 'ECU')"
4225,Chaunochiton kappleri,"('BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'COS', 'FRG', 'GUY', 'SUR')"
4243,Bothriospora corymbosa,"('BZN', 'CLM', 'ECU', 'GUY', 'PER', 'VEN')"
4267,Digitaria argillacea,"('BEN', 'BKN', 'CAF', 'CHA', 'CLM', 'CMN', 'COS', 'CUB', 'DOM', 'ELS', 'GAM', 'GHA', 'GNB', 'GUA', 'HAI', 'HON', 'IVO', 'MLI', 'MTN', 'MXC', 'MXE', 'MXN', 'MXS', 'MXT', 'NGA', 'NGR', 'NIC', 'PAN', 'PUE', 'SEN', 'TEX', 'TOG', 'VEN')"
4268,Digitaria leucites,"('CLM', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT')"
4269,Polystichum pycnolepis,"('BOL', 'CLM', 'ECU', 'GAL', 'PER')"
4313,Scaphyglottis graminifolia,"('BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
4344,Thelypteris caucaensis,"('BOL', 'CLM', 'COS', 'ECU', 'GUA', 'MXT', 'PER', 'VEN')"
4347,Hypolepis repens,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZE', 'BZL', 'BZS', 'CLM', 'COS', 'CUB', 'ECU', 'ELS', 'FLA', 'FRG', 'GUA', 'GUY', 'HAI', 'HON', 'LEE', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PUE', 'SUR', 'TRT', 'VEN', 'WIN')"
4384,Encyclia thrombodes,"('BOL', 'CLM', 'ECU', 'PER')"
4394,Disterigma stereophyllum,"('CLM', 'ECU')"
4400,Stylosanthes hamata,"('ARU', 'BAH', 'CAY', 'CLM', 'COS', 'CUB', 'DOM', 'GUA', 'HAI', 'JAM', 'LEE', 'MXS', 'MXT', 'NLA', 'PUE', 'SWC', 'TCI', 'TRT', 'VEN', 'WIN')"
4431,Maxillaria fusae,"('CLM', 'ECU')"
4439,Mucoa duckei,"('BZN', 'CLM', 'PER')"
4442,Maxillaria valenzuelana,"('BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'ECU', 'GUA', 'HON', 'NIC', 'PAN', 'VEN')"
4449,Maxillaria quercicola,"('CLM',)"
4477,Sterculia pruriens,"('BZC', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'TRT', 'VEN')"
4493,Maxillaria pergracilis,"('CLM',)"
4510,Begonia trispathulata,"('CLM', 'VEN')"
4511,Elaphoglossum ciliatum,"('CLM', 'COS', 'ECU', 'NIC', 'PAN', 'PER')"
4514,Maxillaria planicola,"('CLM', 'COS', 'PAN')"
4521,Gloxinia perennis,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'PAN', 'PER', 'TRT', 'VEN')"
4525,Ayapana hylophila,"('CLM',)"
4560,Hydrochorea pedicellaris,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'ECU', 'FRG', 'GUY', 'HON', 'NIC', 'PER', 'SUR', 'VEN')"
4571,Ayapana ornithophora,"('CLM',)"
4601,Palicourea raveniana,"('CLM', 'PER', 'VEN')"
4604,Macrocarpaea glabra,"('CLM', 'PER')"
4615,Palicourea cuspidata,"('CLM', 'ECU', 'TRT', 'VEN')"
4638,Dicella julianii,"('BZC', 'BZN', 'CLM', 'ECU', 'PER')"
4673,Excremis coarctata,"('BOL', 'BZN', 'CLM', 'ECU', 'PER', 'VEN')"
4690,Ayenia genistella,"('BOL', 'BZC', 'BZN', 'CLM', 'FRG', 'GUY', 'VEN')"
4700,Pleurothallopsis powersii,"('CLM',)"
4726,Steiractinia helianthoides,"('CLM',)"
4731,Cyrtochilum viminale,"('CLM', 'ECU')"
4735,Cyrtochilum amphiglottii,"('CLM',)"
4742,Cyclopogon bicolor,"('AGE', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'PAR', 'TRT', 'VEN')"
4746,Condaminea corymbosa,"('BOL', 'BZL', 'CLM', 'COS', 'ECU', 'PAN', 'PER', 'VEN')"
4760,Cyclopogon ellipticus,"('CLM', 'ECU')"
4771,Cyclopogon millei,"('BOL', 'CLM', 'ECU', 'PER', 'VEN')"
4775,Abutilon bivalve,"('AGE', 'AGW', 'BOL', 'BZC', 'BZE', 'BZL', 'CLM', 'CUB', 'DOM', 'ECU', 'HAI', 'JAM', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'NIC', 'PAR', 'PER', 'PUE', 'VEN', 'VNA')"
4786,Cyrtochilum trilingue,"('CLM', 'PER')"
4805,Psiguria warscewiczii,"('BLZ', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'VEN')"
4834,Chamaecrista calycioides,"('AGE', 'AGW', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'FRG', 'MXE', 'MXS', 'PAR', 'TEX', 'VEN')"
4838,Aetheolaena piedrahitae,"('CLM',)"
4840,Oncidium vulcanicum,"('BOL', 'CLM', 'ECU', 'PER')"
4842,Chamaecrista parvistipula,"('BZC', 'CLM', 'PAR', 'VEN')"
4846,Oncidium cristatum,"('CLM', 'ECU', 'PER')"
4856,Oncidium putumayense,"('CLM',)"
4901,Cyathea traillii,"('BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUY', 'PAN', 'PER', 'SUR', 'VEN')"
4902,Monotagma secundum,"('BZE', 'BZN', 'CLM', 'ECU', 'GUY', 'PER', 'SUR', 'VEN')"
4915,Dasyphyllum popayanense,"('CLM', 'ECU')"
4923,Ditassa franciscoi,"('BZN', 'CLM', 'VEN')"
4930,Jacquemontia evolvuloides,"('AGE', 'AGW', 'ARI', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'ECU', 'GUA', 'GUY', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'VEN')"
4932,Pombalia phyllanthoides,"('CLM', 'VEN')"
4935,Crossoglossa longissima,"('CLM',)"
4938,Dichanthelium strigosum,"('ALA', 'BLZ', 'CLM', 'COS', 'CUB', 'DOM', 'FLA', 'GEO', 'GUA', 'HAI', 'HON', 'JAM', 'LOU', 'MSI', 'MXS', 'MXT', 'NCA', 'NIC', 'PAN', 'PUE', 'SCA', 'TEN', 'TEX', 'VEN', 'VRG')"
4957,Spermacoce densiflora,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'GUA', 'GUY', 'HON', 'JAM', 'LEE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'PUE', 'TRT', 'VEN', 'WIN')"
4971,Peperomia ouabianae,"('BZL', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUY', 'NIC', 'SUR', 'VEN')"
4973,Calliandra magdalenae,"('CLM', 'COS', 'GUA', 'HON', 'MXG', 'MXS', 'MXT', 'PAN', 'PER', 'VEN')"
4978,Tontelea passiflora,"('BOL', 'BZL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PAN', 'PER', 'VEN')"
4995,Columnea angustata,"('CLM', 'COS', 'ECU', 'PAN')"
5001,Sciodaphyllum bejucosum,"('CLM',)"
5019,Columnea karstenianum,"('CLM', 'ECU')"
5021,Caucaea sanguinolenta,"('CLM', 'PER', 'VEN')"
5043,Microstachys corniculata,"('AGE', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'FRG', 'GUY', 'HAI', 'HON', 'LEE', 'MXN', 'MXS', 'PAN', 'PAR', 'PUE', 'SUR', 'TRT', 'VEN', 'VNA', 'WIN')"
5080,Humiriastrum diguense,"('CLM', 'COS', 'ECU', 'NIC', 'PAN')"
5097,Monticalia romeroana,"('CLM',)"
5145,Scutellaria scutellarioides,"('CLM', 'ECU', 'PER')"
5146,Paullinia alata,"('BOL', 'BZC', 'BZN', 'CLM', 'COS', 'ECU', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
5210,Eleocharis fluctuans,"('BZN', 'CLM', 'VEN')"
5253,Comolia nummularioides,"('BZN', 'CLM', 'VEN')"
5255,Huperzia sarmentosa,"('CLM', 'ECU', 'PER')"
5256,Elleanthus columnaris,"('BOL', 'BZN', 'CLM', 'VEN')"
5260,Comolia leptophylla,"('CLM', 'VEN')"
5269,Diplazium cristatum,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'JAM', 'LEE', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'PUE', 'SUR', 'TRT', 'VEN', 'VNA', 'WIN')"
5285,Allophylus floribundus,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
5302,Lepanthes penicillifera,"('CLM',)"
5310,Elleanthus maculatus,"('BOL', 'CLM', 'ECU', 'PER')"
5355,Notopleura uliginosa,"('BLZ', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'FRG', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'SUR', 'TRT', 'VEN', 'WIN')"
5377,Myrcia celaenensis,"('BZN', 'CLM', 'VEN')"
5401,Myrcia neolucida,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'FRG', 'HON', 'PAN', 'SUR', 'VEN')"
5402,Notopleura lateriflora,"('CLM', 'ECU')"
5434,Toxicodendron striatum,"('BOL', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
5439,Hymenophyllum polyanthos,"('BOL', 'BZL', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FRG', 'GAL', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'SUR', 'VEN', 'VNA', 'WIN')"
5469,Pseudalbizzia pistaciifolia,"('CLM', 'ECU', 'VEN')"
5472,Theobroma camargoanum,"('BZN', 'CLM', 'VEN')"
5502,Andreettaea aristata,"('BOL', 'BZL', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'FRG', 'GUY', 'HAI', 'JAM', 'LEE', 'PAN', 'PER', 'PUE', 'SUR', 'VEN', 'WIN')"
5513,Guapira pacurero,"('ARU', 'BZE', 'BZL', 'CLM', 'NLA', 'TRT', 'VEN', 'VNA')"
5520,Pouteria pubescens,"('BZN', 'CLM', 'ECU', 'PER')"
5543,Fernandezia squarrosa,"('CLM',)"
5544,Crepinella eximia,"('BZN', 'CLM')"
5546,Miconia bracteolata,"('CLM', 'ECU', 'PER')"
5555,Chamaecostus fragilis,"('BZN', 'CLM')"
5557,Miconia neoepiphytica,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'HON', 'PAN', 'PER', 'VEN')"
5558,Myoxanthus melittanthus,"('CLM', 'VEN')"
5567,Fernandezia distichoides,"('CLM', 'ECU', 'PER')"
5581,Ichnanthus nemorosus,"('AGW', 'BLZ', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'GAL', 'GUA', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'PUE', 'TRT', 'VEN', 'WIN')"
5584,Ichnanthus calvescens,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'GUY', 'MXT', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
5586,Sarcoglottis homalogastra,"('AGE', 'BOL', 'BZC', 'BZL', 'BZS', 'CLM', 'PAR', 'PER')"
5591,Miconia virescens,"('BZN', 'CLM', 'TRT', 'VEN')"
5595,Miconia sericea,"('BLZ', 'BOL', 'BZE', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
5601,Stenocephalum jucundum,"('CLM', 'GUA', 'MXS', 'MXT', 'VEN')"
5617,Miconia rubiginosa,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'DOM', 'GUY', 'HAI', 'PAN', 'PER', 'PUE', 'SUR', 'TRT', 'VEN')"
5621,Miconia stenoptera,"('BZN', 'CLM', 'ECU', 'PER')"
5644,Miconia lanata,"('BOL', 'BZC', 'BZN', 'CLM', 'PER', 'TRT')"
5645,Fridericia pubescens,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'GUA', 'GUY', 'HON', 'MXE', 'MXG', 'MXS', 'MXT', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
5647,Callisia gracilis,"('BOL', 'CLM', 'ECU', 'PAN', 'PER', 'VEN')"
5649,Miconia diguensis,"('CLM',)"
5656,Roupala monosperma,"('BOL', 'CLM', 'ECU', 'PAN', 'PER', 'VEN')"
5664,Piper demeraranum,"('BOL', 'BZC', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'SUR', 'TRT', 'VEN')"
5683,Holodiscus argenteus,"('CLM', 'GUA', 'MXS', 'MXT')"
5687,Codonanthopsis calcarata,"('BOL', 'BZC', 'BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')"
5697,Telipogon williamsii,"('CLM', 'ECU', 'VEN')"
5776,Aciotis indecora,"('BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
5779,Leochilus scriptus,"('CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'GUA', 'HON', 'MXS', 'MXT', 'NIC', 'PAN', 'TRT', 'VEN')"
5806,Holtonia microcarpa,"('BOL', 'CLM', 'COS', 'ECU', 'PAN', 'PER', 'VEN')"
5809,Lourteigia ornatiloba,"('CLM',)"
5837,Psychotria oleifolia,"('CLM',)"
5839,Adelphia platyrachis,"('CLM',)"
5844,Otoglossum chiriquense,"('CLM', 'COS', 'PAN')"
5857,Burmeistera glabrata,"('CLM', 'ECU')"
5859,Passiflora quindiensis,"('CLM',)"
5884,Prosthechea macrothyrsodes,"('CLM',)"
5886,Aphelandra mollis,"('CLM',)"
5893,Melasma strictum,"('AGE', 'BOL', 'CLM', 'PAR', 'VEN')"
5899,Emmotum orbiculatum,"('BZC', 'BZN', 'CLM', 'GUY')"
5901,Cuspidaria bracteolata,"('BZN', 'CLM', 'ECU', 'PER')"
5945,Dendrophorbium scytophyllum,"('CLM', 'ECU')"
5973,Henriettea mucronata,"('CLM', 'VEN')"
5993,Cuspidaria inaequalis,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'COS', 'FRG', 'GUA', 'GUY', 'MXG', 'MXT', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
5994,Monochaetum expansum,"('CLM',)"
6011,Nassella inconspicua,"('AGW', 'BOL', 'CLM', 'ECU', 'PER')"
6017,Grammitis fendleri,"('CLM', 'VEN')"
6022,Graffenrieda rotundifolia,"('CLM', 'VEN')"
6023,Goeppertia comosa,"('BZN', 'CLM', 'ECU', 'PER', 'SUR')"
6033,Myrcianthes lindleyana,"('CLM', 'ECU', 'PER', 'VEN')"
6042,Grammitis subtilis,"('BOL', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXT', 'PAN', 'VEN')"
6086,Grammitis sectifrons,"('CLM', 'COS', 'ECU', 'JAM', 'LEE', 'PAN', 'PUE', 'VEN')"
6089,Grammitis militaris,"('CLM',)"
6104,Calopogonium galactioides,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'CLM', 'COS', 'DOM', 'ECU', 'ELS', 'GUA', 'HAI', 'HON', 'MXC', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
6130,Grammitis heteromorpha,"('BOL', 'CLM', 'ECU', 'PER')"
6137,Goeppertia ornata,"('CLM', 'VEN')"
6145,Cremospermopsis cestroides,"('CLM',)"
6147,Myrteola phylicoides,"('BOL', 'CLM', 'ECU', 'PER')"
6150,Nautilocalyx pictus,"('BZN', 'CLM', 'FRG', 'GUY', 'SUR')"
6169,Pleonotoma clematis,"('BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')"
6194,Cischweinfia pusilla,"('CLM', 'COS', 'PAN')"
6205,Oreopanax argentatus,"('CLM', 'ECU')"
6214,Clibadium trianae,"('CLM', 'ECU', 'VEN')"
6220,Macrosamanea spruceana,"('BZN', 'CLM', 'PER', 'VEN')"
6238,Bignonia neoheterophylla,"('BLZ', 'CLM', 'COS', 'CUB', 'ELS', 'GUA', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN')"
6263,Clinopodium foliolosum,"('CLM', 'COS', 'VEN')"
6295,Lasiacis rhizophora,"('CLM', 'COS', 'CUB', 'DOM', 'GUA', 'HAI', 'HON', 'JAM', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'VEN')"
6347,Hydrangea preslii,"('BOL', 'CLM', 'COS', 'ECU', 'PAN', 'PER')"
6369,Encyclia conchaechila,"('BZE', 'BZN', 'CLM', 'GUY', 'VEN')"
6393,Gurania rhizantha,"('BZN', 'CLM', 'ECU', 'PER')"
6406,Axonopus capillaris,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'LEE', 'MXG', 'MXS', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
6413,Maxillaria lawrenceana,"('CLM', 'VEN')"
6426,Maxillaria pendula,"('BOL', 'BZL', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'NIC', 'PER', 'VEN')"
6431,Maxillaria olivacea,"('CLM',)"
6445,Elaphoglossum moritzianum,"('CLM', 'GUY', 'HAI', 'VEN')"
6457,Maxillaria equitans,"('BOL', 'BZC', 'BZN', 'CLM', 'ECU', 'GUY', 'PER', 'VEN')"
6458,Maxillaria fulgens,"('BLZ', 'CLM', 'COS', 'GUA', 'HON', 'NIC', 'PAN', 'VEN')"
